year,threat_type,threat_number
1992,threat_total,1
1993,threat_total,13
1994,threat_total,5
1995,threat_total,28
1996,threat_total,57
1997,threat_total,60
1998,threat_total,22
1999,threat_total,29
2000,threat_total,8
2001,threat_total,8
2002,threat_total,28
2003,threat_total,11
2004,threat_total,23
2005,threat_total,48
2006,threat_total,30
2007,threat_total,21
2008,threat_total,13
2009,threat_total,14
2010,threat_total,28
2011,threat_total,33
2012,threat_total,26
2013,threat_total,28
2014,threat_total,42
2015,threat_total,30
2016,threat_total,20
2017,threat_total,19
2018,threat_total,30
1992,military_threat,0
1993,military_threat,6
1994,military_threat,3
1995,military_threat,4
1996,military_threat,12
1997,military_threat,10
1998,military_threat,4
1999,military_threat,0
2000,military_threat,1
2001,military_threat,3
2002,military_threat,6
2003,military_threat,1
2004,military_threat,5
2005,military_threat,12
2006,military_threat,5
2007,military_threat,5
2008,military_threat,1
2009,military_threat,5
2010,military_threat,10
2011,military_threat,8
2012,military_threat,5
2013,military_threat,8
2014,military_threat,9
2015,military_threat,7
2016,military_threat,3
2017,military_threat,3
2018,military_threat,6
1992,economy_threat,0
1993,economy_threat,6
1994,economy_threat,3
1995,economy_threat,17
1996,economy_threat,30
1997,economy_threat,28
1998,economy_threat,7
1999,economy_threat,10
2000,economy_threat,1
2001,economy_threat,2
2002,economy_threat,15
2003,economy_threat,7
2004,economy_threat,14
2005,economy_threat,22
2006,economy_threat,18
2007,economy_threat,9
2008,economy_threat,5
2009,economy_threat,10
2010,economy_threat,13
2011,economy_threat,19
2012,economy_threat,14
2013,economy_threat,11
2014,economy_threat,16
2015,economy_threat,18
2016,economy_threat,9
2017,economy_threat,7
2018,economy_threat,21
1992,political_threat,0
1993,political_threat,3
1994,political_threat,0
1995,political_threat,3
1996,political_threat,7
1997,political_threat,4
1998,political_threat,1
1999,political_threat,2
2000,political_threat,0
2001,political_threat,0
2002,political_threat,0
2003,political_threat,0
2004,political_threat,1
2005,political_threat,2
2006,political_threat,1
2007,political_threat,1
2008,political_threat,1
2009,political_threat,3
2010,political_threat,2
2011,political_threat,2
2012,political_threat,0
2013,political_threat,4
2014,political_threat,4
2015,political_threat,2
2016,political_threat,2
2017,political_threat,2
2018,political_threat,8
